code,name
46.74.3,Торговля оптовая ручными инструментами
46.74.2,Торговля оптовая водопроводным и отопительным оборудованием и санитарно-технической арматурой
26.30.13,Производство средств связи; выполняющих функцию систем управления и мониторинга
46.74.1,Торговля оптовая скобяными изделиями
26.30.11,Производство средств связи; выполняющих функцию систем коммутации
47.59.5,Торговля розничная музыкальными инструментами и нотными изданиями в специализированных магазинах
47.59.4,Торговля розничная изделиями из дерева; пробки и плетеными изделиями в специализированных магазинах
47.59.3,Торговля розничная осветительными приборами в специализированных магазинах
47.59.2,Торговля розничная различной домашней утварью; ножевыми изделиями; посудой; изделиями из стекла и керамики; в том числе фарфора и фаянса в специализированных магазинах
47.59.1,Торговля розничная мебелью в специализированных магазинах
47.29.39,Торговля розничная прочими пищевыми продуктами в специализированных магазинах; не включенными в другие группировки
26.60.9,Производство прочего оборудования; применяемого в медицинских целях
26.60.4,Производство инструмента; оборудования и приспособлений; применяемых в медицинских целях
26.60.5,Производство диагностического и терапевтического оборудования; применяемого в медицинских целях
26.60.2,Производство гемодиализного; диатермического; наркозного оборудования; применяемого в медицинских целях
74.90,Деятельность профессиональная; научная и техническая прочая; не включенная в другие группировки
11.01.4,Производство пищевого спирта
26.60.1,Производство аппаратов; применяемых в медицинских целях; основанных на использовании рентгеновского; альфа-; бета- и гамма-излучений
25.40,Производство оружия и боеприпасов
11.01.1,Производство дистиллированных питьевых алкогольных напитков: водки; виски; бренди; джина; ликеров и т. п.
49.10,Деятельность железнодорожного транспорта: междугородные и международные пассажирские перевозки
35.22.11,Распределение природного; сухого (отбензиненного) газа по газораспределительным сетям по тарифам; регулируемым государством
50.20.32,Аренда морских судов каботажного плавания для перевозки грузов с экипажем
24.20.3,Производство стальных фитингов для труб; кроме литых
25.50,Ковка; прессование; штамповка и профилирование; изготовление изделий методом порошковой металлургии
46.11.35,Деятельность агентов по оптовой торговле текстильным сырьем и полуфабрикатами
46.11.34,Деятельность агентов по оптовой торговле кормами для сельскохозяйственных животных
46.11.31,Деятельность агентов по оптовой торговле зерном
46.11.32,Деятельность агентов по оптовой торговле семенами; кроме семян масличных культур
41.2,Строительство жилых и нежилых зданий
46.11.39,Деятельность агентов по оптовой торговле прочими сельскохозяйственным сырьем и сельскохозяйственными полуфабрикатами; не включенными в другие группировки
25.93.1,Производство изделий из проволоки и пружин
47.72.1,Торговля розничная обувью в специализированных магазинах
49.31.21,Регулярные перевозки пассажиров автобусами в городском и пригородном сообщении
49.31.22,Регулярные перевозки пассажиров троллейбусами в городском и пригородном сообщении
42.22,Строительство коммунальных объектов для обеспечения электроэнергией и телекоммуникациями
30.40,Производство военных боевых машин
47.19.2,Деятельность универсальных магазинов; торгующих товарами общего ассортимента
47.19.1,Торговля розничная большим товарным ассортиментом с преобладанием непродовольственных товаров в неспециализированных магазинах
49.31.23,Регулярные перевозки пассажиров трамваями в городском и пригородном сообщении
49.31.24,Перевозка пассажиров метрополитеном
08.11.3,Добыча мела и некальцинированного доломита
50.10,Деятельность морского пассажирского транспорта
08.11.2,Добыча и первичная обработка известняка и гипсового камня
63.1,Деятельность по обработке данных; предоставление услуг по размещению информации; деятельность порталов в информационно-коммуникационной сети Интернет
42.21,Строительство инженерных коммуникаций для водоснабжения и водоотведения; газоснабжения
35.12.1,Передача электроэнергии
62.01,Разработка компьютерного программного обеспечения
49.31.11,Перевозка пассажиров железнодорожным транспортом в пригородном сообщении в регулируемом секторе
42.11,Строительство автомобильных дорог и автомагистралей
62.02,Деятельность консультативная и работы в области компьютерных технологий
42.12,Строительство железных дорог и метро
62.03,Деятельность по управлению компьютерным оборудованием
42.13,Строительство мостов и тоннелей
28.12.1,Производство гидравлических и пневматических силовых установок и двигателей
62.09,Деятельность; связанная с использованием вычислительной техники и информационных технологий; прочая
30.30,Производство летательных аппаратов; включая космические; и соответствующего оборудования
28.12.2,Производство гидравлических насосов
47.78.63,Торговля розничная газом в баллонах в специализированных магазинах по нерегулируемым государством ценам (тарифам)
47.78.62,Торговля розничная газом в баллонах в специализированных магазинах по регулируемым государствам ценам (тарифам)
26.51.8,Производство частей приборов и инструментов для навигации; управления; измерения; контроля; испытаний и прочих целей
47.78.61,Торговля розничная бытовым жидким котельным топливом; углем; древесным топливом; топливным торфом в специализированных магазинах
26.51.6,Производство прочих приборов; датчиков; аппаратуры и инструментов для измерения; контроля и испытаний
50.20,Деятельность морского грузового транспорта
68.10.2,Покупка и продажа собственного недвижимого имущества
68.10.1,Подготовка к продаже собственного недвижимого имущества
26.51.7,Производство приборов и аппаратуры для автоматического регулирования или управления
26.51.4,Производство приборов и аппаратуры для измерения электрических величин или ионизирующих излучений
26.51.5,Производство приборов для контроля прочих физических величин
26.51.2,Производство радиолокационной; радионавигационной аппаратуры и радиоаппаратуры дистанционного управления
26.51.3,Производство точных весов; производство ручных инструментов для черчения; разметки и математических расчетов; производство ручных инструментов для измерения линейных размеров; не включенных в другие группировки
26.51.1,Производство навигационных; метеорологических; геодезических; геофизических и аналогичного типа приборов; аппаратуры и инструментов
28.92.26,Производство одноковшовых полноповоротных экскаваторов и погрузчиков
03.21.4,Воспроизводство морских биоресурсов искусственное
71.12.4,Деятельность геодезическая и картографическая
58.11.3,Издание атласов; карт и таблиц; в том числе для слепых; в печатном виде
71.12.3,Работы геолого-разведочные; геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы
71.12.2,Деятельность заказчика-застройщика; генерального подрядчика
30.20,Производство железнодорожных локомотивов и подвижного состава
71.12.1,Деятельность; связанная с инженерно-техническим проектированием; управлением проектами строительства; выполнением строительного контроля и авторского надзора
71.12.8,Деятельность по предоставлению инженерно-технических консультаций по энергосбережению и повышению энергетической эффективности
71.12.7,Кадастровая деятельность
71.12.6,Деятельность в области технического регулирования; стандартизации; метрологии; аккредитации; каталогизации продукции
71.12.5,Деятельность в области гидрометеорологии и смежных с ней областях; мониторинга состояния окружающей среды; ее загрязнения
50.30,Деятельность внутреннего водного пассажирского транспорта
58.11.1,Издание книг; брошюр; рекламных буклетов и аналогичных изданий; включая издание словарей и энциклопедий; в том числе для слепых; в печатном виде
58.11.2,Издание книг; брошюр; рекламных буклетов и аналогичных изданий; включая издание словарей и энциклопедий на электронных носителях
56.10.21,Деятельность предприятий общественного питания с обслуживанием на вынос
29.20,Производство кузовов для автотранспортных средств; производство прицепов и полуприцепов
82.91,Деятельность агентств по сбору платежей и бюро кредитной информации
82.92,Деятельность по упаковыванию товаров
20.14.7,Производство прочих химических органических основных веществ
20.14.6,Производство простых эфиров; органических пероксидов; эпоксидов; ацеталей и полуацеталей; прочих органических соединений
46.21.1,Торговля оптовая зерном; семенами и кормами для животных
50.40,Деятельность внутреннего водного грузового транспорта
61.10.9,Деятельность в области связи на базе проводных технологий прочая
61.10.5,Деятельность по трансляции телерадиоканалов по сетям кабельного телерадиовещания
30.11,Строительство кораблей; судов и плавучих конструкций
61.10.4,Деятельность в области документальной электросвязи
30.12,Строительство прогулочных и спортивных судов
82.99,Деятельность по предоставлению прочих вспомогательных услуг для бизнеса; не включенная в другие группировки
61.10.1,Деятельность по предоставлению услуг телефонной связи
61.10.3,Деятельность по предоставлению услуг по передаче данных и услуг доступа к информационно-коммуникационной сети Интернет
29.32,Производство прочих комплектующих и принадлежностей для автотранспортных средств
29.31,Производство электрического и электронного оборудования для автотранспортных средств
17.29,Производство прочих изделий из бумаги и картона
17.22,Производство бумажных изделий хозяйственно-бытового и санитарно-гигиенического назначения
17.23,Производство бумажных канцелярских принадлежностей
13.10.5,Изготовление натуральных шелковых; искусственных и синтетических волокон
72.2,Научные исследования и разработки в области общественных и гуманитарных наук
13.10.4,Прядение льняных волокон
72.1,Научные исследования и разработки в области естественных и технических наук
17.21,Производство гофрированной бумаги и картона; бумажной и картонной тары
28.21.1,Производство неэлектрических печей; горелок и устройств для них
28.21.2,Производство электрических печей
74.10,Деятельность специализированная в области дизайна
10.91.3,Производство кормового микробиологического белка; премиксов; кормовых витаминов; антибиотиков; аминокислот и ферментов
10.91.1,Производство готовых кормов (смешанных и несмешанных); кроме муки и гранул из люцерны; для животных; содержащихся на фермах
13.10.2,Прядение кардное шерстяных волокон
46.43.1,Торговля оптовая электрической бытовой техникой
30.92.1,Производство велосипедов
46.43.2,Торговля оптовая радио-; теле- и видеоаппаратурой и аппаратурой для цифровых видеодисков (DVD)
01.42.2,Производство бычьей спермы; а также спермы буйволов; яков и др.
01.42.1,Разведение мясного и прочего крупного рогатого скота; включая буйволов; яков и др.
30.92.2,Производство инвалидных колясок
94.99,Деятельность прочих общественных организаций; не включенных в другие группировки
94.91,Деятельность религиозных организаций
74.20,Деятельность в области фотографии
94.92,Деятельность политических организаций
46.43.3,Торговля оптовая грампластинками; аудио- и видеомагнитными лентами; компакт-дисками (CD) и цифровыми видеодисками (DVD) (кроме носителей без записей)
46.43.4,Торговля оптовая фототоварами и оптическими товарами
19.2,Производство нефтепродуктов
29.10,Производство автотранспортных средств
08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений
08.92,Добыча и агломерация торфа
94.1,Деятельность коммерческих; предпринимательских и профессиональных организаций
94.2,Деятельность профессиональных союзов
01.19.21,Выращивание цветов в открытом и защищенном грунте
43.32.3,Производство работ по внутренней отделке зданий (включая потолки; раздвижные и съемные перегородки и т. д.)
45.32,Торговля розничная автомобильными деталями; узлами и принадлежностями
43.32.1,Установка дверей (кроме автоматических и вращающихся); окон; дверных и оконных рам из дерева или прочих материалов
45.31,Торговля оптовая автомобильными деталями; узлами и принадлежностями
35.30.14,Производство пара и горячей воды (тепловой энергии) котельными
35.30.15,Производство охлажденной воды или льда (натурального из воды) для целей охлаждения
47.76.1,Торговля розничная цветами и другими растениями; семенами и удобрениями в специализированных магазинах
35.30.13,Производство пара и горячей воды (тепловой энергии) прочими электростанциями и промышленными блок-станциями
47.76.2,Торговля розничная домашними животными и кормами для домашних животных в специализированных магазинах
35.30.11,Производство пара и горячей воды (тепловой энергии) тепловыми электростанциями
23.52.2,Производство гипса
23.52.1,Производство негашеной; гашеной и гидравлической извести
69.10,Деятельность в области права
94.9,Деятельность прочих общественных организаций
45.20,Техническое обслуживание и ремонт автотранспортных средств
45.19,Торговля прочими автотранспортными средствами
46.18.99,Деятельность агентов; специализирующихся на оптовой торговле прочими товарами; не включенными в другие группировки
70.10,Деятельность головных офисов
46.18.91,Деятельность агентов; специализирующихся на оптовой торговле бумагой и картоном
47.89.1,Торговля розничная в нестационарных торговых объектах прочими товарами
26.20.4,Производство средств защиты информации; а также информационных и телекоммуникационных систем; защищенных с использованием средств защиты информации
26.20.1,Производство компьютеров
45.11,Торговля легковыми автомобилями и грузовыми автомобилями малой грузоподъемности
69.20,Деятельность по оказанию услуг в области бухгалтерского учета; по проведению финансового аудита; по налоговому консультированию
70.22,Консультирование по вопросам коммерческой деятельности и управления
70.21,Деятельность в сфере связей с общественностью
33.20,Монтаж промышленных машин и оборудования
85.42.9,Деятельность по дополнительному профессиональному образованию прочая; не включенная в другие группировки
08.99,Добыча прочих полезных ископаемых; не включенных в другие группировки
01.25.1,Выращивание прочих плодовых и ягодных культур
85.42.1,Деятельность школ подготовки водителей автотранспортных средств
85.42.2,Деятельность школ обучения вождению воздушных и плавательных судов; без выдачи коммерческих сертификатов и лицензий
08.93,Добыча соли
28.11.21,Производство паровых турбин
28.9,Производство прочих машин специального назначения
28.11.23,Производство газовых турбин; кроме турбореактивных и турбовинтовых
33.11,Ремонт металлоизделий
33.12,Ремонт машин и оборудования
47.63.1,Торговля розничная музыкальными записями; аудиолентами; компакт-дисками и кассетами в специализированных магазинах
68.31.1,Предоставление посреднических услуг при купле-продаже недвижимого имущества за вознаграждение или на договорной основе
68.31.2,Предоставление посреднических услуг по аренде недвижимого имущества за вознаграждение или на договорной основе
10.12.5,Производство пера и пуха
68.31.3,Предоставление консультационных услуг при купле-продаже недвижимого имущества за вознаграждение или на договорной основе
33.19,Ремонт прочего оборудования
68.31.4,Предоставление консультационных услуг по аренде недвижимого имущества за вознаграждение или на договорной основе
68.31.5,Предоставление посреднических услуг при оценке недвижимого имущества за вознаграждение или на договорной основе
08.12.2,Добыча глины и каолина
33.17,Ремонт и техническое обслуживание прочих транспортных средств и оборудования
08.12.1,Разработка гравийных и песчаных карьеров
33.15,Ремонт и техническое обслуживание судов и лодок
33.16,Ремонт и техническое обслуживание летательных аппаратов; включая космические
33.13,Ремонт электронного и оптического оборудования
33.14,Ремонт электрического оборудования
06.20.1,Добыча природного газа
21.20,Производство лекарственных препаратов и материалов; применяемых в медицинских целях
28.4,Производство станков; машин и оборудования для обработки металлов и прочих твердых материалов
28.3,Производство машин и оборудования для сельского и лесного хозяйства
28.2,Производство прочих машин и оборудования общего назначения
82.20,Деятельность центров обработки телефонных вызовов
28.1,Производство машин и оборудования общего назначения
82.19,Деятельность по фотокопированию и подготовке документов и прочая специализированная вспомогательная деятельность по обеспечению деятельности офиса
47.41.4,Торговля розничная офисными машинами и оборудованием в специализированных магазинах
02.40.2,Предоставление услуг в области лесозаготовок
02.40.1,Предоставление услуг в области лесоводства
30.30.41,Производство автоматических космических аппаратов
82.11,Деятельность административно-хозяйственная комплексная по обеспечению работы организации
46.48.2,Торговля оптовая ювелирными изделиями
84.23.4,Деятельность по управлению и эксплуатации тюрем; исправительных колоний и других мест лишения свободы; а также по оказанию реабилитационной помощи бывшим заключенным
28.25.1,Производство теплообменных устройств; оборудования для кондиционирования воздуха промышленного холодильного и морозильного оборудования; производство оборудования для фильтрования и очистки газов
28.25.2,Производство вентиляторов
94.20,Деятельность профессиональных союзов
84.23.1,Деятельность федеральных судов
30.30.32,Производство самолетов
46.13.1,Деятельность агентов по оптовой торговле лесоматериалами
46.13.2,Деятельность агентов по оптовой торговле строительными материалами
72.20.1,Научные исследования и разработки в области общественных наук
72.20.2,Научные исследования и разработки в области гуманитарных наук
94.11,Деятельность коммерческих и предпринимательских членских организаций
30.30.14,Производство наземных тренажеров для летного состава и их частей
26.11.9,Производство частей электронных ламп; трубок и прочих электронных компонентов; не включенных в другие группировки
30.30.13,Производство реактивных двигателей и их частей
30.30.12,Производство турбореактивных и турбовинтовых двигателей и их частей
30.30.11,Производство двигателей летательных аппаратов с искровым зажиганием и их частей
94.12,Деятельность профессиональных членских организаций
26.11.1,Производство электронных вакуумных ламп и трубок и прочих электронных вакуумных приборов
26.11.2,Производство диодов; транзисторов и прочих полупроводниковых приборов; включая светоизлучающие диоды; пьезоэлектрические приборы и их части
26.11.3,Производство интегральных электронных схем
46.31.11,Торговля оптовая свежим картофелем
46.31.12,Торговля оптовая прочими свежими овощами
21.10,Производство фармацевтических субстанций
